ID,SAMPLES,date,TIME,X_axis,Y_axis,Z_axis,TEMP,MAC_ID,None
6,27,04-02-2020,219,46,16,76,31,8cb1190709cc, 
6,28,05-02-2020,220,-60,-18,270,31,8cb1190709cc, 
6,29,06-02-2020,221,-38,58,66,31,8cb1190709cc, 
6,30,07-02-2020,222,48,-64,380,31,8cb1190709cc, 
6,31,08-02-2020,223,-32,86,226,31,8cb1190709cc, 
6,32,09-02-2020,224,26,-108,474,31,8cb1190709cc, 
6,1,10-02-2020,225,10,-54,248,31,8cb1190709cc, 
6,2,11-02-2020,226,-46,40,340,31,8cb1190709cc, 
6,3,12-02-2020,227,28,30,88,31,8cb1190709cc, 
6,4,13-02-2020,228,0,-66,384,31,8cb1190709cc, 
6,5,14-02-2020,229,-24,54,238,31,8cb1190709cc, 
6,6,15-02-2020,230,2,26,110,31,8cb1190709cc, 
6,7,16-02-2020,231,14,-44,374,31,8cb1190709cc, 
6,8,17-02-2020,232,-58,0,288,31,8cb1190709cc, 
6,9,18-02-2020,233,16,34,84,31,8cb1190709cc, 
6,10,19-02-2020,234,18,-64,342,31,8cb1190709cc, 
6,11,20-02-2020,235,-42,14,274,31,8cb1190709cc, 
6,12,21-02-2020,236,6,40,74,31,8cb1190709cc, 
6,13,22-02-2020,237,30,-52,406,31,8cb1190709cc, 
6,14,23-02-2020,238,-22,-10,198,31,8cb1190709cc, 
6,15,24-02-2020,239,2,60,164,31,8cb1190709cc, 
6,16,25-02-2020,240,48,-32,250,31,8cb1190709cc, 
6,17,26-02-2020,241,-62,-34,326,31,8cb1190709cc, 
6,18,27-02-2020,242,-8,10,102,31,8cb1190709cc, 
6,19,28-02-2020,243,-12,-56,198,31,8cb1190709cc, 
6,20,29-02-2020,244,4,62,86,31,8cb1190709cc, 
6,21,01-03-2020,245,22,-48,366,31,8cb1190709cc, 
6,22,02-03-2020,246,-20,38,224,31,8cb1190709cc, 
6,23,03-03-2020,247,60,-34,348,31,8cb1190709cc, 
6,24,04-03-2020,248,-46,40,294,31,8cb1190709cc, 
6,25,05-03-2020,249,54,-56,264,31,8cb1190709cc, 
6,26,06-03-2020,250,-16,52,254,31,8cb1190709cc, 
6,27,07-03-2020,251,30,-4,306,31,8cb1190709cc, 
6,28,08-03-2020,252,-26,0,254,31,8cb1190709cc, 
6,29,09-03-2020,253,38,2,182,31,8cb1190709cc, 
6,30,10-03-2020,254,-54,4,300,31,8cb1190709cc, 
6,31,11-03-2020,255,10,14,174,31,8cb1190709cc, 
6,32,12-03-2020,256,-16,-68,334,31,8cb1190709cc, 
6,1,13-03-2020,257,-18,76,170,31,8cb1190709cc, 
6,2,14-03-2020,258,34,-34,298,31,8cb1190709cc, 
6,3,15-03-2020,259,-40,-56,292,31,8cb1190709cc, 
6,4,16-03-2020,260,-36,58,154,31,8cb1190709cc, 
6,5,17-03-2020,261,40,-4,238,31,8cb1190709cc, 
6,6,18-03-2020,262,-10,-58,256,31,8cb1190709cc, 
6,7,19-03-2020,263,-40,80,270,31,8cb1190709cc, 
6,8,20-03-2020,264,38,-28,174,31,8cb1190709cc, 
6,9,21-03-2020,265,-4,-58,322,31,8cb1190709cc, 
6,10,22-03-2020,266,-22,74,204,31,8cb1190709cc, 
6,11,23-03-2020,267,18,10,174,31,8cb1190709cc, 
6,12,24-03-2020,268,24,-68,350,31,8cb1190709cc, 
6,13,25-03-2020,269,-50,54,314,31,8cb1190709cc, 
6,14,26-03-2020,270,16,26,36,31,8cb1190709cc, 
6,15,27-03-2020,271,12,-56,418,31,8cb1190709cc, 
6,16,28-03-2020,272,-52,50,238,31,8cb1190709cc, 
6,17,29-03-2020,273,-2,32,128,31,8cb1190709cc, 
6,18,30-03-2020,274,-32,-64,256,31,8cb1190709cc, 
6,19,31-03-2020,275,-40,58,276,31,8cb1190709cc, 
6,20,01-04-2020,276,44,-60,348,31,8cb1190709cc, 
6,21,02-04-2020,277,-10,70,198,31,8cb1190709cc, 
6,22,03-04-2020,278,58,-46,400,31,8cb1190709cc, 
6,23,04-04-2020,279,-38,46,262,31,8cb1190709cc, 
6,24,05-04-2020,280,52,-34,246,31,8cb1190709cc, 
6,25,06-04-2020,281,-30,66,230,31,8cb1190709cc, 
6,26,07-04-2020,282,10,-32,340,31,8cb1190709cc, 
6,27,08-04-2020,283,-50,10,240,31,8cb1190709cc, 
6,28,09-04-2020,284,38,-6,178,31,8cb1190709cc, 
6,29,10-04-2020,285,-40,-84,412,31,8cb1190709cc, 
6,30,11-04-2020,286,-14,28,16,31,8cb1190709cc, 
6,31,12-04-2020,287,20,-66,270,31,8cb1190709cc, 
6,32,13-04-2020,288,-8,60,194,31,8cb1190709cc, 
6,1,14-04-2020,289,-14,32,266,31,8cb1190709cc, 
6,2,15-04-2020,290,-42,22,132,31,8cb1190709cc, 
6,3,16-04-2020,291,50,-26,366,31,8cb1190709cc, 
6,4,17-04-2020,292,-50,-28,264,31,8cb1190709cc, 
6,5,18-04-2020,293,-28,62,152,31,8cb1190709cc, 
6,6,19-04-2020,294,50,-28,284,31,8cb1190709cc, 
6,7,20-04-2020,295,-42,-16,308,31,8cb1190709cc, 
6,8,21-04-2020,296,-68,44,152,31,8cb1190709cc, 
6,9,22-04-2020,297,54,-56,320,31,8cb1190709cc, 
6,10,23-04-2020,298,-20,-64,202,31,8cb1190709cc, 
6,11,24-04-2020,299,-42,92,226,31,8cb1190709cc, 
6,12,25-04-2020,300,58,-26,178,31,8cb1190709cc, 
6,13,26-04-2020,301,-2,-60,388,31,8cb1190709cc, 
6,14,27-04-2020,302,-18,76,184,31,8cb1190709cc, 
6,15,28-04-2020,303,18,6,178,31,8cb1190709cc, 
6,16,29-04-2020,304,70,-58,308,31,8cb1190709cc, 
6,17,30-04-2020,305,-80,48,256,31,8cb1190709cc, 
6,18,01-05-2020,306,40,-58,316,31,8cb1190709cc, 
6,19,02-05-2020,307,-22,66,220,31,8cb1190709cc, 
6,20,03-05-2020,308,30,-4,322,31,8cb1190709cc, 
6,21,04-05-2020,309,-58,30,286,31,8cb1190709cc, 
6,22,05-05-2020,310,30,-48,180,31,8cb1190709cc, 
6,23,06-05-2020,311,4,-64,318,31,8cb1190709cc, 
6,24,07-05-2020,312,-22,32,108,31,8cb1190709cc, 
6,25,08-05-2020,313,8,-90,306,31,8cb1190709cc, 
6,26,09-05-2020,314,-18,74,72,31,8cb1190709cc, 
6,27,10-05-2020,315,48,-64,408,31,8cb1190709cc, 
6,28,11-05-2020,316,-42,62,190,31,8cb1190709cc, 
6,29,12-05-2020,317,44,-56,326,31,8cb1190709cc, 
6,30,13-05-2020,318,-30,70,240,31,8cb1190709cc, 
6,31,14-05-2020,319,42,-60,402,31,8cb1190709cc, 
6,32,15-05-2020,320,-54,54,194,31,8cb1190709cc, 
6,1,16-05-2020,321,-24,-40,190,32,8cb1190709cc, 
6,2,17-05-2020,322,-38,38,244,32,8cb1190709cc, 
6,3,18-05-2020,323,42,-8,176,32,8cb1190709cc, 
6,4,19-05-2020,324,-36,-60,336,32,8cb1190709cc, 
6,5,20-05-2020,325,18,64,118,32,8cb1190709cc, 
6,6,21-05-2020,326,-16,-42,322,32,8cb1190709cc, 
6,7,22-05-2020,327,18,-26,212,32,8cb1190709cc, 
6,8,23-05-2020,328,-34,32,230,32,8cb1190709cc, 
6,9,24-05-2020,329,44,46,182,32,8cb1190709cc, 
6,10,25-05-2020,330,0,-82,322,32,8cb1190709cc, 
6,11,26-05-2020,331,-16,74,238,32,8cb1190709cc, 
6,12,27-05-2020,332,-36,-14,162,32,8cb1190709cc, 
6,13,28-05-2020,333,52,-24,328,32,8cb1190709cc, 
6,14,29-05-2020,334,-22,-8,252,32,8cb1190709cc, 
6,15,30-05-2020,335,-12,70,190,32,8cb1190709cc, 
6,16,31-05-2020,336,0,-88,256,32,8cb1190709cc, 
6,17,01-06-2020,337,-52,-26,284,32,8cb1190709cc, 
6,18,02-06-2020,338,-18,-22,232,32,8cb1190709cc, 
